trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type
1011555,502,2015-11-16 18:13:00 UTC,Redwood City Caltrain Station,22,2015-11-16 18:21:00 UTC,Mezes,83,35,94063,Subscriber
949971,201,2015-09-29 09:22:00 UTC,Redwood City Caltrain Station,22,2015-09-29 09:26:00 UTC,Mezes,83,93,94707,Subscriber
1078381,266,2016-02-01 18:09:00 UTC,Redwood City Caltrain Station,22,2016-02-01 18:13:00 UTC,Mezes,83,577,94063,Subscriber
1076369,284,2016-01-29 18:07:00 UTC,Redwood City Caltrain Station,22,2016-01-29 18:12:00 UTC,Mezes,83,577,94063,Subscriber
1162378,256,2016-04-14 17:07:00 UTC,Redwood City Caltrain Station,22,2016-04-14 17:11:00 UTC,Mezes,83,642,94063,Subscriber
939668,241,2015-09-21 17:33:00 UTC,Redwood City Caltrain Station,22,2015-09-21 17:37:00 UTC,Mezes,83,246,94063,Subscriber
1140228,315,2016-03-28 18:07:00 UTC,Redwood City Caltrain Station,22,2016-03-28 18:12:00 UTC,Mezes,83,185,94063,Subscriber
1182524,323,2016-04-29 17:10:00 UTC,Redwood City Caltrain Station,22,2016-04-29 17:15:00 UTC,Mezes,83,196,94063,Subscriber
942343,183,2015-09-23 09:29:00 UTC,Redwood City Caltrain Station,22,2015-09-23 09:32:00 UTC,Mezes,83,694,94707,Subscriber
1096812,288,2016-02-17 19:35:00 UTC,Redwood City Caltrain Station,22,2016-02-17 19:39:00 UTC,Mezes,83,127,94063,Subscriber
964797,257,2015-10-09 17:06:00 UTC,Redwood City Caltrain Station,22,2015-10-09 17:10:00 UTC,Mezes,83,655,94063,Subscriber
1128621,304,2016-03-17 18:07:00 UTC,Redwood City Caltrain Station,22,2016-03-17 18:12:00 UTC,Mezes,83,44,94063,Subscriber
981898,332,2015-10-22 17:32:00 UTC,Redwood City Caltrain Station,22,2015-10-22 17:37:00 UTC,Mezes,83,155,94063,Subscriber
944688,309,2015-09-24 17:10:00 UTC,Redwood City Caltrain Station,22,2015-09-24 17:15:00 UTC,Mezes,83,88,94063,Subscriber
1036836,343,2015-12-11 17:07:00 UTC,Redwood City Caltrain Station,22,2015-12-11 17:13:00 UTC,Mezes,83,84,94063,Subscriber
1021356,362,2015-11-24 18:08:00 UTC,Redwood City Caltrain Station,22,2015-11-24 18:14:00 UTC,Mezes,83,21,94063,Subscriber
1169080,302,2016-04-19 18:28:00 UTC,Redwood City Caltrain Station,22,2016-04-19 18:33:00 UTC,Mezes,83,196,94063,Subscriber
969469,225,2015-10-13 18:51:00 UTC,Redwood City Caltrain Station,22,2015-10-13 18:55:00 UTC,Mezes,83,655,94063,Subscriber
997796,285,2015-11-04 18:07:00 UTC,Redwood City Caltrain Station,22,2015-11-04 18:12:00 UTC,Mezes,83,657,94063,Subscriber
1080970,284,2016-02-03 18:08:00 UTC,Redwood City Caltrain Station,22,2016-02-03 18:12:00 UTC,Mezes,83,127,94063,Subscriber
990923,290,2015-10-29 17:33:00 UTC,Redwood City Caltrain Station,22,2015-10-29 17:38:00 UTC,Mezes,83,52,94063,Subscriber
1114664,318,2016-03-03 18:10:00 UTC,Redwood City Caltrain Station,22,2016-03-03 18:15:00 UTC,Mezes,83,246,94063,Subscriber
1123791,296,2016-03-14 17:33:00 UTC,Redwood City Caltrain Station,22,2016-03-14 17:38:00 UTC,Mezes,83,246,94063,Subscriber
